Gene Symbol,Name of gene,Disease,Phenotype
KYNU,kynureninase,"Vertebral, Cardiac, Renal, and Limb defects syndrome type 2 (VCRL2); NAD Deficiency Disorder",Atrial septal defect; Hypoplastic left heart syndrome; Patent ductus arteriosus; Tetralogy of Fallot; Pulmonary valve stenosis; Ventricular septal defect; Mitral valve stenosis; Aortic hypoplasia
MED13L,mediator complex subunit 13 like,"Intellectual disability, autosomal dominant 10; Congenital heart defect (transposition of the great arteries)",Transposition of the great arteries; Ventricular septal defect; Atrial septal defect; Patent foramen ovale; Tetralogy of Fallot; Pulmonary atresia; Total anomalous pulmonary venous connection; Hypoplastic left heart
NOTCH2,notch receptor 2,Alagille syndrome; Hajdu-Cheney syndrome (including Serpentine fibula-polycystic kidney syndrome),Atrial septal defect; Ventricular septal defect; Tetralogy of Fallot; Peripheral pulmonic stenosis; Valvular pulmonic stenosis; Persistent ductus arteriosus; Patent foramen ovale
PRKACA,"protein kinase, cAMP-dependent, catalytic, alpha",Multiple congenital malformation syndrome,Atrioventricular septal defect; Common atrium; Mitral valve anomaly; Mitral valve regurgitation; Single atrium
SMG9,SMG9 (suppressor of morphogenesis in genitalia 9),Multiple congenital anomaly syndrome,Ventricular septal defect; Bicuspid aortic valve; Aortic dilatation; Interrupted aortic arch; Hypoplastic tricuspid valve; Hypoplastic aortic valve
ZFPM2,"zinc finger protein, FOG family member 2 (FOG2)",Conotruncal heart defect; Tetralogy of Fallot,Tetralogy of Fallot; Double-outlet right ventricle; Transposition of the great arteries; Pulmonary atresia; Tricuspid atresia; Ventricular septal defect; Outflow tract anomalies; Septal defects; Valve defects; Coronary vessel developmental defects
NPHP3,nephronophthisis 3 (nephrocystin 3),Nephronophthisis 3; Meckel syndrome 7; Renal-hepatic-pancreatic dysplasia,Ventricular septal defect; Atrial septal defect; Patent ductus arteriosus; Aortic stenosis; Mitral insufficiency; Supravalvular pulmonary stenosis; Patent foramen ovale; Aortic valve stenosis; Pulmonary valve stenosis; Congenital heart defects; Dextrocardia; Complex cardiac defects; Structural heart defects
SMAD4,SMAD4 family member 4,Myhre syndrome,Congenital heart defects; Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Branch pulmonary artery stenosis; Pulmonic valve stenosis; Tricuspid valve abnormalities; Aortic valve stenosis; Mitral valve stenosis; Coarctation of the aorta; Long segment aortic narrowing; Polyvalvar dysplasia; Peripheral vascular stenoses; Pericardial disease; Restrictive cardiomyopathy; Systemic hypertension
SON,SON DNA binding protein,Intellectual disability syndrome caused by SON mutations,Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Aortic valve regurgitation; Heart defects (unspecified)
ZEB2,"zinc finger E-box binding homeobox 2 (ZFHX1B, SIP1, SMADIP1)",Mowat-Wilson syndrome,Atrial septal defect; Ventricular septal defect; Patent ductus arteriosus; Pulmonary stenosis; Aortic stenosis; Tetralogy of Fallot; Aortic coarctation; Pulmonary artery sling; Pulmonary hypertension
PIGV,phosphatidylinositol glycan anchor biosynthesis class V,Hyperphosphatasia with mental retardation syndrome (HPMRS),Ventricular septal defect; Patent foramen ovale
PLXND1,plexin D1,Biallelic alterations in PLXND1 cause common arterial trunk and other cardiac malformations,Common arterial trunk (truncus arteriosus); Anomalous pulmonary venous return; Interrupted aortic arch; Right aortic arch; Ventricular hypoplasia; Single ventricle; Single outlet artery; Hypoplastic left heart; Ventricular hypertrabeculation; Noncompaction defects
SPRED2,"Sprouty-related, EVH1 domain containing 2",Noonan syndrome-like disorder,Congenital heart defects; Hypertrophic cardiomyopathy; Pulmonary valve stenosis
